"Task ID","Parent ID","Phase","Work Package","Task Name","Task Type","Goal","Background","In Scope","Out of Scope","Relevant Files／Modules","Inputs","Expected Output","Dependencies","Entry Criteria","Acceptance Criteria","Validation Method","Test IDs","Test Mapping Status","Rollback Method","Stop Conditions","Implementer","Reviewer","Priority","Risk","Status","Planned Effort","Actual Effort","Start Time","Completion Time","Evidence Link","Review Record ID","Decision Record ID","Progress Denominator Flag","Notes","Gate IDs"
"V6-P4-T001","V6-P4","V6","P4 UI","保持 UI 一次只操作一支军队","UI","选择态与世界集合分离，无 active singleton 持久假设。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","选择态与世界集合分离，无 active singleton 持久假设。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","选择态与世界集合分离，无 active singleton 持久假设。","V6-P3-T002","V5 VERIFIED 且当前任务前置完成","选择态与世界集合分离，无 active singleton 持久假设。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P4_T001","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G4"
"V6-P5-T001","V6-P5","V6","P5 验证","多军队、行军恢复与触发合同自动测试","QA","并发、重复到达、保存、重进、守恒。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","并发、重复到达、保存、重进、守恒。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","并发、重复到达、保存、重进、守恒。","V6-P4-T001","V5 VERIFIED 且当前任务前置完成","并发、重复到达、保存、重进、守恒。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P5_T001","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G3"
"V6-P5-T002","V6-P5","V6","P5 验证","真实窗口验证两支军队路径","Manual QA","分别行军、驻扎、返回、重进可读。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","分别行军、驻扎、返回、重进可读。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","分别行军、驻扎、返回、重进可读。","V6-P5-T001","V5 VERIFIED 且当前任务前置完成","分别行军、驻扎、返回、重进可读。；无第二世界状态；失败可回滚。","真实窗口","T-V6_P5_T002","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Stage reviewer","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V6-G4,V6-G6"
"V6-P5-T003","V6-P5","V6","P5 验证","独立复查并冻结 V6","Review","状态所有权、并发、迁移和回滚通过。","V6 中度拆解；阶段开始前必须依据 V5 实际接口再细化。","状态所有权、并发、迁移和回滚通过。","不实现完整遭遇战、攻城表现、第二兵种、敌方 AI。","阶段开始前查重登记","V5 VERIFIED","状态所有权、并发、迁移和回滚通过。","V6-P5-T002","V5 VERIFIED 且当前任务前置完成","状态所有权、并发、迁移和回滚通过。；无第二世界状态；失败可回滚。","自动测试 / 独立复查","T-V6_P5_T003","MAPPED","回到上一 V6 工作包提交","需要复制 CityState、模型仍依赖单 active army、迁移不安全。","Main Codex","Independent Codex","P0","HIGH","NOT_STARTED","","","","","","","","1","","V6-G5,V6-G6"
"V7-P0-T001","V7","V7","P0 工作包","冻结遭遇战请求与 ArmyState 写回合同","Architecture","两军在道路或据点相遇时进入可读、可决策的步兵遭遇战，结果写回军队与战区。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","冻结遭遇战请求与 ArmyState 写回合同","不做第二兵种、攻城、复杂地形、装备与将领主动技能。","阶段开始前登记；不预造文件名","V6 VERIFIED","冻结遭遇战请求与 ArmyState 写回合同","V6-P5-T003","上一阶段 VERIFIED；P0 前置门通过","冻结遭遇战请求与 ArmyState 写回合同 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V6 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V7-G0,V7-G1"
"V7-P1-T002","V7","V7","P1 工作包","复用 BattleSession 建立步兵遭遇战适配","Work Package","两军在道路或据点相遇时进入可读、可决策的步兵遭遇战，结果写回军队与战区。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","复用 BattleSession 建立步兵遭遇战适配","不做第二兵种、攻城、复杂地形、装备与将领主动技能。","阶段开始前登记；不预造文件名","V6 VERIFIED","复用 BattleSession 建立步兵遭遇战适配","V7-P0-T001","上一阶段 VERIFIED；P1 前置门通过","复用 BattleSession 建立步兵遭遇战适配 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V6 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V7-G2"
"V7-P2-T003","V7","V7","P2 工作包","实现胜利／失败／撤退与战略结果写回","Work Package","两军在道路或据点相遇时进入可读、可决策的步兵遭遇战，结果写回军队与战区。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现胜利／失败／撤退与战略结果写回","不做第二兵种、攻城、复杂地形、装备与将领主动技能。","阶段开始前登记；不预造文件名","V6 VERIFIED","实现胜利／失败／撤退与战略结果写回","V7-P1-T002","上一阶段 VERIFIED；P2 前置门通过","实现胜利／失败／撤退与战略结果写回 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V6 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V7-G2"
"V7-P3-T004","V7","V7","P3 工作包","自动、实体与独立复查后冻结","Review","两军在道路或据点相遇时进入可读、可决策的步兵遭遇战，结果写回军队与战区。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","自动、实体与独立复查后冻结","不做第二兵种、攻城、复杂地形、装备与将领主动技能。","阶段开始前登记；不预造文件名","V6 VERIFIED","自动、实体与独立复查后冻结","V7-P2-T003","上一阶段 VERIFIED；P3 前置门通过","自动、实体与独立复查后冻结 的玩家结果、状态合同、失败路径和证据完整。","自动 + 真实窗口 + 独立复查","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V6 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Independent Codex + User","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V7-G3,V7-G4,V7-G5,V7-G6"
"V8-P0-T001","V8","V8","P0 工作包","冻结围城状态与战事内城契约","Architecture","军队抵达敌城后形成围城；进入临时战事内城，城墙/城门/核心代表战役，不摧毁常态内城布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","冻结围城状态与战事内城契约","不复制城市建设、不随机删除建筑、不实现第二城市。","阶段开始前登记；不预造文件名","V7 VERIFIED","冻结围城状态与战事内城契约","V7-P3-T004","上一阶段 VERIFIED；P0 前置门通过","冻结围城状态与战事内城契约 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","T-ARCH-OWNERSHIP-001","MAPPED","回到 V7 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V8-G0,V8-G1"
"V8-P1-T002","V8","V8","P1 工作包","建立临时战事内城场景与 BattleSession 配置","Work Package","军队抵达敌城后形成围城；进入临时战事内城，城墙/城门/核心代表战役，不摧毁常态内城布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","建立临时战事内城场景与 BattleSession 配置","不复制城市建设、不随机删除建筑、不实现第二城市。","阶段开始前登记；不预造文件名","V7 VERIFIED","建立临时战事内城场景与 BattleSession 配置","V8-P0-T001","上一阶段 VERIFIED；P1 前置门通过","建立临时战事内城场景与 BattleSession 配置 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V7 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V8-G2"
"V8-P2-T003","V8","V8","P2 工作包","实现可维修损伤和城市布局保全写回","Work Package","军队抵达敌城后形成围城；进入临时战事内城，城墙/城门/核心代表战役，不摧毁常态内城布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现可维修损伤和城市布局保全写回","不复制城市建设、不随机删除建筑、不实现第二城市。","阶段开始前登记；不预造文件名","V7 VERIFIED","实现可维修损伤和城市布局保全写回","V8-P1-T002","上一阶段 VERIFIED；P2 前置门通过","实现可维修损伤和城市布局保全写回 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","T-ARCH-OWNERSHIP-001","MAPPED","回到 V7 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V8-G2"
"V8-P3-T004","V8","V8","P3 工作包","失败语义、实体测试与独立复查后冻结","Review","军队抵达敌城后形成围城；进入临时战事内城，城墙/城门/核心代表战役，不摧毁常态内城布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","失败语义、实体测试与独立复查后冻结","不复制城市建设、不随机删除建筑、不实现第二城市。","阶段开始前登记；不预造文件名","V7 VERIFIED","失败语义、实体测试与独立复查后冻结","V8-P2-T003","上一阶段 VERIFIED；P3 前置门通过","失败语义、实体测试与独立复查后冻结 的玩家结果、状态合同、失败路径和证据完整。","自动 + 真实窗口 + 独立复查","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V7 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Independent Codex + User","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V8-G3,V8-G4,V8-G5,V8-G6"
"V9-P0-T001","V9","V9","P0 工作包","冻结多城市 identity、归属和迁移合同","Architecture","玩家可占领/收复第二城市；其布局和归属持久，失败不销毁原布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","冻结多城市 identity、归属和迁移合同","不扩大城市数量、不做完整世界经济。","阶段开始前登记；不预造文件名","V8 VERIFIED","冻结多城市 identity、归属和迁移合同","V8-P3-T004","上一阶段 VERIFIED；P0 前置门通过","冻结多城市 identity、归属和迁移合同 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V8 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V9-G0,V9-G1"
"V9-P1-T002","V9","V9","P1 工作包","建立第二持久城市及城市切换","Work Package","玩家可占领/收复第二城市；其布局和归属持久，失败不销毁原布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","建立第二持久城市及城市切换","不扩大城市数量、不做完整世界经济。","阶段开始前登记；不预造文件名","V8 VERIFIED","建立第二持久城市及城市切换","V9-P0-T001","上一阶段 VERIFIED；P1 前置门通过","建立第二持久城市及城市切换 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V8 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V9-G2"
"V9-P2-T003","V9","V9","P2 工作包","实现占领、锁定、收复和布局恢复","Work Package","玩家可占领/收复第二城市；其布局和归属持久，失败不销毁原布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现占领、锁定、收复和布局恢复","不扩大城市数量、不做完整世界经济。","阶段开始前登记；不预造文件名","V8 VERIFIED","实现占领、锁定、收复和布局恢复","V9-P1-T002","上一阶段 VERIFIED；P2 前置门通过","实现占领、锁定、收复和布局恢复 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V8 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V9-G2"
"V9-P3-T004","V9","V9","P3 工作包","多城市存档、实体测试与独立复查后冻结","Review","玩家可占领/收复第二城市；其布局和归属持久，失败不销毁原布局。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","多城市存档、实体测试与独立复查后冻结","不扩大城市数量、不做完整世界经济。","阶段开始前登记；不预造文件名","V8 VERIFIED","多城市存档、实体测试与独立复查后冻结","V9-P2-T003","上一阶段 VERIFIED；P3 前置门通过","多城市存档、实体测试与独立复查后冻结 的玩家结果、状态合同、失败路径和证据完整。","自动 + 真实窗口 + 独立复查","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V8 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Independent Codex + User","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V9-G3,V9-G4,V9-G5,V9-G6"
"V10-P0-T001","V10","V10","P0 工作包","冻结战略时间与敌方行动命令合同","Architecture","敌军会在天下地图上增援、封锁、进攻；玩家能提前看见并响应。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","冻结战略时间与敌方行动命令合同","不做复杂 AI 学习、不做随机事件海量池。","阶段开始前登记；不预造文件名","V9 VERIFIED","冻结战略时间与敌方行动命令合同","V9-P3-T004","上一阶段 VERIFIED；P0 前置门通过","冻结战略时间与敌方行动命令合同 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V9 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V10-G0,V10-G1"
"V10-P1-T002","V10","V10","P1 工作包","实现确定性增援、封锁与进攻","Work Package","敌军会在天下地图上增援、封锁、进攻；玩家能提前看见并响应。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现确定性增援、封锁与进攻","不做复杂 AI 学习、不做随机事件海量池。","阶段开始前登记；不预造文件名","V9 VERIFIED","实现确定性增援、封锁与进攻","V10-P0-T001","上一阶段 VERIFIED；P1 前置门通过","实现确定性增援、封锁与进攻 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V9 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V10-G2"
"V10-P2-T003","V10","V10","P2 工作包","实现预告、日志和玩家响应反馈","Work Package","敌军会在天下地图上增援、封锁、进攻；玩家能提前看见并响应。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现预告、日志和玩家响应反馈","不做复杂 AI 学习、不做随机事件海量池。","阶段开始前登记；不预造文件名","V9 VERIFIED","实现预告、日志和玩家响应反馈","V10-P1-T002","上一阶段 VERIFIED；P2 前置门通过","实现预告、日志和玩家响应反馈 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V9 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V10-G2"
"V10-P3-T004","V10","V10","P3 工作包","重放、存档、实体与独立复查后冻结","Review","敌军会在天下地图上增援、封锁、进攻；玩家能提前看见并响应。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","重放、存档、实体与独立复查后冻结","不做复杂 AI 学习、不做随机事件海量池。","阶段开始前登记；不预造文件名","V9 VERIFIED","重放、存档、实体与独立复查后冻结","V10-P2-T003","上一阶段 VERIFIED；P3 前置门通过","重放、存档、实体与独立复查后冻结 的玩家结果、状态合同、失败路径和证据完整。","自动 + 真实窗口 + 独立复查","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V9 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Independent Codex + User","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V10-G3,V10-G4,V10-G5,V10-G6"
"V11-P0-T001","V11","V11","P0 工作包","冻结第二兵种和旧存档迁移合同","Architecture","玩家用两种真实兵种组成可保存编组，并在战前/战中体现差异。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","冻结第二兵种和旧存档迁移合同","不一次扩四兵种、不做装备/抽卡/将领养成。","阶段开始前登记；不预造文件名","V10 VERIFIED","冻结第二兵种和旧存档迁移合同","V10-P3-T004","上一阶段 VERIFIED；P0 前置门通过","冻结第二兵种和旧存档迁移合同 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V10 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V11-G0,V11-G1"
"V11-P1-T002","V11","V11","P1 工作包","实现第二 UnitDefinition、训练和补给","Work Package","玩家用两种真实兵种组成可保存编组，并在战前/战中体现差异。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现第二 UnitDefinition、训练和补给","不一次扩四兵种、不做装备/抽卡/将领养成。","阶段开始前登记；不预造文件名","V10 VERIFIED","实现第二 UnitDefinition、训练和补给","V11-P0-T001","上一阶段 VERIFIED；P1 前置门通过","实现第二 UnitDefinition、训练和补给 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V10 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V11-G2"
"V11-P2-T003","V11","V11","P2 工作包","实现正式编组及战斗差异","Work Package","玩家用两种真实兵种组成可保存编组，并在战前/战中体现差异。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现正式编组及战斗差异","不一次扩四兵种、不做装备/抽卡/将领养成。","阶段开始前登记；不预造文件名","V10 VERIFIED","实现正式编组及战斗差异","V11-P1-T002","上一阶段 VERIFIED；P2 前置门通过","实现正式编组及战斗差异 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V10 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V11-G2"
"V11-P3-T004","V11","V11","P3 工作包","平衡入口、实体与独立复查后冻结","Review","玩家用两种真实兵种组成可保存编组，并在战前/战中体现差异。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","平衡入口、实体与独立复查后冻结","不一次扩四兵种、不做装备/抽卡/将领养成。","阶段开始前登记；不预造文件名","V10 VERIFIED","平衡入口、实体与独立复查后冻结","V11-P2-T003","上一阶段 VERIFIED；P3 前置门通过","平衡入口、实体与独立复查后冻结 的玩家结果、状态合同、失败路径和证据完整。","自动 + 真实窗口 + 独立复查","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V10 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Independent Codex + User","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V11-G3,V11-G4,V11-G5,V11-G6"
"V12-P0-T001","V12","V12","P0 工作包","冻结特殊行动命令与结果合同","Architecture","军队可执行少量明确的非正面战斗行动，改变路线、情报或战斗条件。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","冻结特殊行动命令与结果合同","不扩成通用脚本引擎、不堆空技能和无结果按钮。","阶段开始前登记；不预造文件名","V11 VERIFIED","冻结特殊行动命令与结果合同","V11-P3-T004","上一阶段 VERIFIED；P0 前置门通过","冻结特殊行动命令与结果合同 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V11 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P0","HIGH","NOT_STARTED","","","","","","","","1","","V12-G0,V12-G1"
"V12-P1-T002","V12","V12","P1 工作包","实现工程与路线影响","Work Package","军队可执行少量明确的非正面战斗行动，改变路线、情报或战斗条件。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现工程与路线影响","不扩成通用脚本引擎、不堆空技能和无结果按钮。","阶段开始前登记；不预造文件名","V11 VERIFIED","实现工程与路线影响","V12-P0-T001","上一阶段 VERIFIED；P1 前置门通过","实现工程与路线影响 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V11 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V12-G2"
"V12-P2-T003","V12","V12","P2 工作包","实现侦察、伏击与情报影响","Work Package","军队可执行少量明确的非正面战斗行动，改变路线、情报或战斗条件。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","实现侦察、伏击与情报影响","不扩成通用脚本引擎、不堆空技能和无结果按钮。","阶段开始前登记；不预造文件名","V11 VERIFIED","实现侦察、伏击与情报影响","V12-P1-T002","上一阶段 VERIFIED；P2 前置门通过","实现侦察、伏击与情报影响 的玩家结果、状态合同、失败路径和证据完整。","阶段内测试","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V11 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Stage reviewer","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V12-G2"
"V12-P3-T004","V12","V12","P3 工作包","一次性语义、实体与独立复查后冻结","Review","军队可执行少量明确的非正面战斗行动，改变路线、情报或战斗条件。","远期仅保留工作包级规划，阶段开始前必须根据上一阶段事实重新拆解。","一次性语义、实体与独立复查后冻结","不扩成通用脚本引擎、不堆空技能和无结果按钮。","阶段开始前登记；不预造文件名","V11 VERIFIED","一次性语义、实体与独立复查后冻结","V12-P2-T003","上一阶段 VERIFIED；P3 前置门通过","一次性语义、实体与独立复查后冻结 的玩家结果、状态合同、失败路径和证据完整。","自动 + 真实窗口 + 独立复查","","DEFERRED_UNTIL_PRIOR_PHASE_VERIFIED","回到 V11 冻结提交","产品方向未确认、需要新依赖/迁移、状态所有权冲突。","Main Codex","Independent Codex + User","P0","MEDIUM","NOT_STARTED","","","","","","","","1","","V12-G3,V12-G4,V12-G5,V12-G6"
